$ICAO,$Registration,$Operator,$Type,$ICAO Type,#CMPG,$Tag 1,$#Tag 2,$#Tag 3,Category
A0F0F1,N16SM,Select Medical Corp,BAe 125,H25B,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors
A0F57D,N161AZ,Dillon Aero,Canadair CT-133 MK3 Silver Star,T33,Civ,Training Wheels,Canuck,Zoomies,Historic
A0F6BA,N161PR,N161PR LLC,Douglas C-47B BT-67,DC3T,Civ,Turboprop,Rejuvenated,Indestructible,Historic
A0F6BB,N161PS,Private,Pitts Special S-2B,PTS2,Civ,Biplane,Do A Barrel Roll,Aerobatics,Joe Cool
A0F8BE,N1617M,Private,Boeing Stearman E75 PT-13D Kaydet,ST75,Civ,Radial Engine,Biplane,Wing Walk,Historic
A0F8F9,N1619A,Atlas Air,Boeing 767 3Y0ERBDSF,B763,Civ,Cargo,GTMO,Gun Runner,Hired Gun
A0F98C,N162EM,Draken Intl,Douglas A-4N Skyhawk,A4,Civ,Aggressor Squadron,Callsign Viper,Broke The Hard Deck,Hired Gun
A0F9E7,N162JC,Jim Carrey,Gulfstream G500,GLF5,Civ,Alrighty Then,The Grinch,Man On The Moon,Don't you know who I am?
A0FA0C,N162KQ,Metrea,Quest Aircraft Company Kodiak 100,KODI,Civ,Surveillance,Covert,Spyplane,Oxcart
A0FA44,N162MW,Midwest Medical Transport,Eurocopter EC135 P1,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors
A0FB13,N162WC,Washington Corp,Boeing 737NG-BBJ,B737,Civ,Man Made Climate Change,Boeing Business Jet,Climate Crisis,Climate Crisis
A0FCD6,N163AC,Wells Fargo Trust,S-64F Skycrane,S64,Civ,Skycrane,Thunderbird 2,Heavy Lift,Big Hello
A0FCF2,N163BF,Bayflite,Eurocopter EC135 P2+,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors
A0FD43,N163EM,Draken Intl,Douglas A-4N Skyhawk,A4,Civ,Aggressor Squadron,Callsign Viper,Broke The Hard Deck,Hired Gun
A0FDD3,N163LF,RDT Air,Piaggio P-180 Avanti,P180,Civ,Pusher Prop,Canards,How Does It Fly,Bizjets
A0FDFB,N650HC,Group Holdings Aviation,Gulfstream G650,GLF6,Civ,PIA,Hive Mind,You Can Run But You Cannot Hide,PIA
A0FE01,N658HC,Group Holdings Aviation,Gulfstream G650,GLF6,Civ,PIA,Hive Mind,You Can Run But You Cannot Hide,PIA
A0FE02,N113CS,113CS LLC,Gulfstream G650,GLF6,Civ,PIA,Hive Mind,You Can Run But You Cannot Hide,PIA
A0FE19,N163PA,Phoenix Air,Gulfstream III,GLF3,Civ,Hired Gun,Government Contractor,Dirty Business,Hired Gun
A0FE2E,N439PW,N439W LLC,C90A King Air,BE9L,Civ,PIA,Hive Mind,You Can Run But You Cannot Hide,PIA
A0FE3D,N682HS,Encompass Health,Cessna Citation Sovereign,C680,Civ,PIA,Hive Mind,You Can Run But You Cannot Hide,PIA
A0FE3F,N725DT,Donald Trump,Cessna Citation X,C750,Civ,PIA,Hive Mind,You Can Run But You Cannot Hide,PIA
A0FE6E,N437JD,Agrilease,Dassault Falcon 2000EX,F2TH,Civ,PIA,Hive Mind,You Can Run But You Cannot Hide,PIA
A0FE85,N83EP,Barrwood Equipment,Cessna Citation V,C560,Civ,PIA,Hive Mind,You Can Run But You Cannot Hide,PIA
A0FE90,N2E,Snap Inc,Gulfstream G650 ER,GLF6,Civ,PIA,Hive Mind,You Can Run But You Cannot Hide,PIA
A0FEAA,N8200E,Emerson Electric,Dassault Falcon 900,F900,Civ,PIA,Hive Mind,You Can Run But You Cannot Hide,PIA
A0FEAB,N302AK,Ken Griffin,Bombardier Global 6000,GLEX,Civ,PIA,Hive Mind,You Can Run But You Cannot Hide,PIA
A0FEAF,N68KP,Ken Griffin,Bombardier Global 6500,GLEX,Civ,PIA,Hive Mind,You Can Run But You Cannot Hide,PIA
A0FEB0,N8000E,Emerson Electric,Dassault Falcon 7X,FA7X,Civ,PIA,Hive Mind,You Can Run But You Cannot Hide,PIA
A0FEBA,N977V,TBC,Beech 95-C55 Baron,BE95,Civ,PIA,Hive Mind,You Can Run But You Cannot Hide,PIA
A0FEBB,N628TS,Elon Musk,Gulfstream G650,GLF6,Civ,PIA,Hive Mind,You Can Run But You Cannot Hide,PIA
A1008D,N164AC,Erickson Air-Crane,S-64E Skycrane,S64,Civ,Skycrane,Thunderbird 2,Incredible Hulk,Big Hello
A100FA,N164EM,Draken Intl,Douglas A-4N Skyhawk,A4,Civ,Aggressor Squadron,Callsign Viper,Broke The Hard Deck,Hired Gun
A101D0,N164PA,Phoenix Air,Gulfstream II B,GLF2,Civ,Hired Gun,Government Contractor,Dirty Business,Hired Gun
A1049D,N165DS,Textron Aviation,Cessna Citation XLS+,C56X,Civ,Pistons and Props,Mergers,Bizjet,As Seen on TV
A1052C,N165KK,Trojan Aviation,Canadair CT-133 Silver Star,T33,Civ,Training Wheels,Canuck,Zoomies,Historic
A10587,N165PA,Phoenix Air,Gulfstream II B,GLF2,Civ,Hired Gun,Government Contractor,Dirty Business,Hired Gun
A105DC,N165SL,Nextgen Partners,Piaggio P-180 Avanti II,P180,Civ,Venture Capital,Aaaaaaaand its gone,Pusher Prop,As Seen on TV
