$ICAO,$Registration,$Operator,$Type,$ICAO Type,#CMPG,$Tag 1,$#Tag 2,$#Tag 3,Category
344609,UD.14-04,Spanish Air Force,Bombardier CL-415 T,CL2T,Gov,Utility,Amphibious,Twin Turboprop,Special Mission
34634A,EC-NDU,Titan Firefighting,Air Tractor AT-802,AT8T,Gov,Utility,Low Altitude,Single Engine,Special Mission
3464D9,EC-NKY,Titan Firefighting,Air Tractor AT-802,AT8T,Gov,Utility,Low Altitude,Single Engine,Special Mission
353041,UD.14-01,Spanish Air Force,Bombardier CL-415 T,CL2T,Gov,Utility,Amphibious,Twin Turboprop,Special Mission
353042,UD.14-02,Spanish Air Force,Bombardier CL-415 T,CL2T,Gov,Utility,Amphibious,Twin Turboprop,Special Mission
354555,T.22-1,Spanish Air Force,Airbus A310-304,A310,Gov,Refueling,Aerial Refueling,Twin Engine,Tanker
354556,T.22-2,Spanish Air Force,Airbus A310-304,A310,Gov,Refueling,Aerial Refueling,Twin Engine,Tanker
354641,UD.14-03,Spanish Air Force,Bombardier CL-415 T,CL2T,Gov,Utility,Amphibious,Twin Turboprop,Special Mission
39016D,F-GALN,Institut National Geographique,B200 Super King Air,BE20,Gov,Utility,Multi-Role,Twin Turboprop,Utility
393173,F-GMLT,Institut National Geographique,B200T Super King Air,BE20,Gov,Utility,Multi-Role,Twin Turboprop,Utility
398895,F-HCEV,D.G. de l'Aviation Civile,B200GT Super King Air,BE20,Gov,Utility,Multi-Role,Twin Turboprop,Utility
39AE68,FHLTI,Gov of Togo,Dassault Falcon 7X,FA7X,Gov,Utility,Long Range,Jet,Business Jet
39B415,F-HNAV,Ecole Aviation Civile,B200GT Super King Air,BE20,Gov,Utility,Multi-Role,Twin Turboprop,Utility
3B7543,F-UJCT,French Air Force,Airbus A330-243,A332,Gov,Utility,Long Range,Twin Engine,Passenger - Widebody
3B7544,F-UJCS,French Air Force,Airbus A330-243,A332,Gov,Utility,Long Range,Twin Engine,Passenger - Widebody
3B7B20,F-ZBGQ,French Customs,B350 Super King Air,B350,Gov,Utility,Multi-Role,Twin Turboprop,Utility
3B7B21,F-ZBGP,French Customs,B350 Super King Air,B350,Gov,Utility,Multi-Role,Twin Turboprop,Utility
3B7B22,F-ZBGO,French Customs,B350 Super King Air,B350,Gov,Utility,Multi-Role,Twin Turboprop,Utility
3B7B23,F-ZBGN,French Customs,B350 Super King Air,B350,Gov,Utility,Multi-Role,Twin Turboprop,Utility
3B7B3F,F-ZBMI,Securite Civile,DHC-8-400 MR,DH8D,Gov,Utility,Multi-Role,Twin Turboprop,Regional Passenger
3B7B40,F-ZBGL,French Customs,B350 Super King Air,B350,Gov,Utility,Multi-Role,Twin Turboprop,Utility
3B7B41,F-ZBGM,French Customs,B350 Super King Air,B350,Gov,Utility,Multi-Role,Twin Turboprop,Utility
3B7B63,F-ZBMH,Securite Civile,DHC-8-402,DH8D,Gov,Utility,Multi-Role,Twin Turboprop,Regional Passenger
3B7B65,F-ZBFJ,Securite Civile,B200 Super King Air,BE20,Gov,Utility,Multi-Role,Twin Turboprop,Utility
3B7B6B,F-ZBMG,Securite Civile,Bombardier CL-415 T,CL2T,Gov,Utility,Amphibious,Twin Turboprop,Special Mission
3B7B6C,F-ZBFX,Securite Civile,Bombardier CL-415 T,CL2T,Gov,Utility,Amphibious,Twin Turboprop,Special Mission
3B7B6D,F-ZBFN,Securite Civile,Bombardier CL-415 T,CL2T,Gov,Utility,Amphibious,Twin Turboprop,Special Mission
3B7B6E,F-ZBFS,Securite Civile,Bombardier CL-415 T,CL2T,Gov,Utility,Amphibious,Twin Turboprop,Special Mission
3B7B6F,F-ZBFP,Securite Civile,Bombardier CL-415 T,CL2T,Gov,Utility,Amphibious,Twin Turboprop,Special Mission
3B7B70,F-ZBMF,Securite Civile,Bombardier CL-415 T,CL2T,Gov,Utility,Amphibious,Twin Turboprop,Special Mission
3B7B71,F-ZBME,Securite Civile,Bombardier CL-415 T,CL2T,Gov,Utility,Amphibious,Twin Turboprop,Special Mission
3B7B72,F-ZBEU,Securite Civile,Bombardier CL-415 T,CL2T,Gov,Utility,Amphibious,Twin Turboprop,Special Mission
3B7B73,F-ZBEG,Securite Civile,Bombardier CL-415 T,CL2T,Gov,Utility,Amphibious,Twin Turboprop,Special Mission
3B7B74,F-ZBFW,Securite Civile,Bombardier CL-415 T,CL2T,Gov,Utility,Amphibious,Twin Turboprop,Special Mission
3B7B75,F-ZBFV,Securite Civile,Bombardier CL-415 T,CL2T,Gov,Utility,Amphibious,Twin Turboprop,Special Mission
3B7B76,F-ZBFY,Securite Civile,Bombardier CL-415 T,CL2T,Gov,Utility,Amphibious,Twin Turboprop,Special Mission
3B7B80,F-ZBGK,French Customs,B350 Super King Air,B350,Gov,Utility,Multi-Role,Twin Turboprop,Utility
3B7B86,F-ZBMC,Securite Civile,DHC-8-402,DH8D,Gov,Utility,Multi-Role,Twin Turboprop,Regional Passenger
3B7B90,F-ZBQA,Securite Civile,Eurocopter EC145,EC45,Gov,Utility,Medium Lift,Rotorcraft,Helicopter - Utility
3B7B98,F-ZBPS,Securite Civile,Eurocopter EC145,EC45,Gov,Utility,Medium Lift,Rotorcraft,Helicopter - Utility
3B7B9A,F-ZBPQ,Securite Civile,Eurocopter EC145,EC45,Gov,Utility,Medium Lift,Rotorcraft,Helicopter - Utility
3B7BA2,F-ZBPI,Securite Civile,Eurocopter EC145,EC45,Gov,Utility,Medium Lift,Rotorcraft,Helicopter - Utility
3B7BA8,F-ZBQR,Securite Civile,Eurocopter EC145,EC45,Gov,Utility,Medium Lift,Rotorcraft,Helicopter - Utility
3C5829,D-AFAI,United Nations,Bombardier Challenger 604,CL60,Gov,Utility,Long Range,Twin Engine,Business Jet
3CC011,YV3000,Venezuelan Air Force,Dornier Do 228-NG,D228,Gov,Utility,STOL,Twin Turboprop,Utility
3CC9AB,D-CDRF,DRF Luftrettung,Learjet 35A,LJ35,Gov,Utility,Long Range,Twin Engine,Business Jet
3CE2D2,YV3083,Venezuelan Air Force,Dornier Do 228-212,D228,Gov,Utility,STOL,Twin Turboprop,Utility
3DD2F3,D-HADF,German Air Force,Eurocopter H145M,EC45,Gov,Utility,Medium Lift,Rotorcraft,Helicopter - Utility
3F6EEA,76+11,German Air Force,Airbus Helicopters EC-645 T2,EC45,Gov,Utility,Medium Lift,Rotorcraft,Helicopter - Utility
3F9A92,15+03,German Air Force,Airbus ACJ319-133X,A319,Gov,Utility,Multi-Role,Twin Engine,Passenger - Narrowbody
40013D,VP-BAT,Gov of Qatar,Boeing 747-SP,B74S,Gov,Utility,Long Range,Quad Engine,Passenger - Widebody
4043AD,G-EHMS,London Air Ambulance,MD 900 Explorer,EXPL,Gov,Utility,Light Lift,Rotorcraft,Helicopter - Utility
405580,G-SMMB,Marine Scotland,Cessna F406 Caravan II,F406,Gov,Maritime Patrol,High Endurance,Twin Turboprop,Maritime Patrol
405D6F,G-DOSB,Acrobat Ltd,DA42-MPP,DA42,Gov,ISR,,Twin Engine,ISR / Surveillance
405EC4,G-DOSC,Acrobat Ltd,DA42-MPP,DA42,Gov,ISR,,Twin Engine,ISR / Surveillance
405FE9,G-XXEB,The Kings Helicopter flight,Sikorsky S-76 C,S76,Gov,Utility,Medium Lift,Rotorcraft,Helicopter - Utility
406004,G-XXED,The Kings Helicopter flight,Sikorsky S-76 C,S76,Gov,Utility,Medium Lift,Rotorcraft,Helicopter - Utility
4068DA,G-HMDX,Specialist Aviation Services,MD 900 Explorer,EXPL,Gov,Utility,Light Lift,Rotorcraft,Helicopter - Utility
406BC6,G-XXEC,The Kings Helicopter flight,AgustaWestland AW.109,A109,Gov,Utility,Light Lift,Rotorcraft,Helicopter - Utility
406C79,G-MCGE,HM Coastguard,Sikorsky S-92 A,S92,Gov,Maritime Patrol,Heavy Lift,Rotorcraft,Helicopter - Transport
406C82,G-MCGF,HM Coastguard,Sikorsky S-92 A,S92,Gov,Maritime Patrol,Heavy Lift,Rotorcraft,Helicopter - Transport
406C8E,G-MCGG,HM Coastguard,Sikorsky S-92 A,S92,Gov,Maritime Patrol,Heavy Lift,Rotorcraft,Helicopter - Transport
406D21,G-MCGM,HM Coastguard,AgustaWestland AW.189,A189,Gov,Maritime Patrol,Heavy Lift,Rotorcraft,Helicopter - Transport
406D2C,G-MCGH,HM Coastguard,Sikorsky S-92 A,S92,Gov,Maritime Patrol,Heavy Lift,Rotorcraft,Helicopter - Transport
406D2D,G-MCGI,HM Coastguard,Sikorsky S-92 A,S92,Gov,Maritime Patrol,Heavy Lift,Rotorcraft,Helicopter - Transport
406D5F,G-MCGN,HM Coastguard,AgustaWestland AW.189,A189,Gov,Maritime Patrol,Heavy Lift,Rotorcraft,Helicopter - Transport
406DDB,G-MCGJ,HM Coastguard,Sikorsky S-92 A,S92,Gov,Maritime Patrol,Heavy Lift,Rotorcraft,Helicopter - Transport
406DDC,G-MCGK,HM Coastguard,Sikorsky S-92 A,S92,Gov,Maritime Patrol,Heavy Lift,Rotorcraft,Helicopter - Transport
406DE5,G-MCGO,HM Coastguard,AgustaWestland AW.189,A189,Gov,Maritime Patrol,Heavy Lift,Rotorcraft,Helicopter - Transport
406DE6,G-MCGP,HM Coastguard,AgustaWestland AW.189,A189,Gov,Maritime Patrol,Heavy Lift,Rotorcraft,Helicopter - Transport
406DE7,G-MCGR,HM Coastguard,AgustaWestland AW.189,A189,Gov,Maritime Patrol,Heavy Lift,Rotorcraft,Helicopter - Transport
406DE8,G-MCGS,HM Coastguard,AgustaWestland AW.189,A189,Gov,Maritime Patrol,Heavy Lift,Rotorcraft,Helicopter - Transport
406DE9,G-MCGT,HM Coastguard,AgustaWestland AW.189,A189,Gov,Maritime Patrol,Heavy Lift,Rotorcraft,Helicopter - Transport
406DEA,G-MCGU,HM Coastguard,AgustaWestland AW.189,A189,Gov,Maritime Patrol,Heavy Lift,Rotorcraft,Helicopter - Transport
406DEB,G-MCGV,HM Coastguard,AgustaWestland AW.189,A189,Gov,Maritime Patrol,Heavy Lift,Rotorcraft,Helicopter - Transport
406DEC,G-MCGW,HM Coastguard,AgustaWestland AW.189,A189,Gov,Maritime Patrol,Heavy Lift,Rotorcraft,Helicopter - Transport
406DED,G-MCGX,HM Coastguard,AgustaWestland AW.189,A189,Gov,Maritime Patrol,Heavy Lift,Rotorcraft,Helicopter - Transport
406EE7,G-MCGY,HM Coastguard,Sikorsky S-92 A,S92,Gov,Maritime Patrol,Heavy Lift,Rotorcraft,Helicopter - Transport
406F2D,G-MCGZ,HM Coastguard,Sikorsky S-92 A,S92,Gov,Maritime Patrol,Heavy Lift,Rotorcraft,Helicopter - Transport
406F50,GZ-100,The Royal Squadron,AgustaWestland AW.109,A109,Gov,Utility,Light Lift,Rotorcraft,Helicopter - Utility
406F8B,G-MCGL,HM Coastguard,Sikorsky S-92 A,S92,Gov,Maritime Patrol,Heavy Lift,Rotorcraft,Helicopter - Transport
40729C,G-SCIR,2 Excel Aviation,Piper PA-31 Navajo C,PA31,Gov,Maritime Patrol,Multi-Role,Twin Engine,Utility
407814,G-HMGA,HM Coastguard,B200 Super King Air,BE20,Gov,Utility,Multi-Role,Twin Turboprop,Utility
407843,G-HMGB,HM Coastguard,B200 Super King Air,BE20,Gov,Utility,Multi-Role,Twin Turboprop,Utility
407DCA,G-HMGC,HM Coastguard,Beech King Air 200,BE20,Gov,Utility,Multi-Role,Twin Turboprop,Utility
407F86,G-HMGG,HM Coastguard,Raytheon Aircraft Company King Air B350,B350,Gov,Utility,Multi-Role,Twin Turboprop,Utility
4241BB,VP-CAL,Prince Mohammed bin Fahd al Saud,Boeing 777-LR,B77L,Gov,Utility,Long Range,Twin Engine,Passenger - Widebody
4241F8,VP-FBD,Falkland Islands Government Air Service,BN Islander 2B-26,BN2P,Gov,Utility,STOL,Twin Engine,Utility
4241FA,VP-FBR,Falkland Islands Government Air Service,BN Islander 2B-26,BN2P,Gov,Utility,STOL,Twin Engine,Utility
4241FC,VP-FBO,Falkland Islands Government Air Service,BN Islander 2B-26,BN2P,Gov,Utility,STOL,Twin Engine,Utility
4241FE,VP-FMC,Falkland Islands Government Air Service,BN Islander 2B-26,BN2P,Gov,Utility,STOL,Twin Engine,Utility
424238,VP-BBF,Gov of Azerbaijan,Gulfstream G650,GLF6,Gov,Utility,Long Range,Jet,Business Jet
4243E4,VQ-BMZ,Gov of Jordan,Gulfstream G650,GLF6,Gov,Utility,Long Range,Jet,Business Jet
4243FD,VQ-BNZ,Government of Jordan,Gulfstream G650 ER,GLF6,Gov,Utility,Long Range,Jet,Business Jet
424918,VQ-BDD,Gov of Jordan,Airbus ACJ319-Elite,A319,Gov,Utility,Multi-Role,Twin Engine,Passenger - Narrowbody
43C6F9,ZZ336,Royal Air Force,Airbus Voyager KC3,A332,Gov,Utility,Long Range,Twin Engine,Passenger - Widebody
43ECF4,2-CIAS,Channel Islands Air Search,BN Islander 2A,BN2P,Gov,Utility,STOL,Twin Engine,Utility
44B5AD,OO-MMM,Belgian Coast Guard,BN Islander 2A-21,BN2P,Gov,Maritime Patrol,STOL,Twin Engine,Utility
451C42,LZ-OOI,Government of Bulgaria,Dassault Falcon 2000,F2TH,Gov,Utility,Long Range,Twin Engine,Business Jet
451CB8,LZ-CAT,Government of Bulgaria,Mil Mi-8S,MI8,Gov,Tactical Transport,Medium Lift,Rotorcraft,Helicopter - Transport
