$ICAO,$Registration,$Operator,$Type,$ICAO Type,#CMPG,$Tag 1,$#Tag 2,$#Tag 3,Category
3E010B,D-HRPB,Bundespolizei,Eurocopter EC135 P2,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
3E0228,D-HSAA,Bundespolizei,MBB-Kawasaki BK 117 D-2,BK17,Pol,Utility,Medium Lift,Rotorcraft,Helicopter - Utility
3E0229,D-HSAB,Bundespolizei,Eurocopter EC145,EC45,Pol,Utility,Medium Lift,Rotorcraft,Helicopter - Utility
3E023A,D-HSAS,Bundespolizei,MBB-Kawasaki BK 117,BK17,Pol,Utility,Medium Lift,Rotorcraft,Helicopter - Utility
3E023B,D-HSAT,Bundespolizei,MBB-Kawasaki BK 117,BK17,Pol,Utility,Medium Lift,Rotorcraft,Helicopter - Utility
3E02DF,D-HSHB,Bundespolizei,Eurocopter EC120B Colibri,EC20,Pol,Training,Light Lift,Rotorcraft,Helicopter - Utility
3E02E0,D-HSHC,Bundespolizei,Eurocopter EC120B Colibri,EC20,Pol,Training,Light Lift,Rotorcraft,Helicopter - Utility
3E02E1,D-HSHD,Bundespolizei,Eurocopter EC120B Colibri,EC20,Pol,Training,Light Lift,Rotorcraft,Helicopter - Utility
3E02E2,D-HSHE,Bundespolizei,Eurocopter EC120B Colibri,EC20,Pol,Training,Light Lift,Rotorcraft,Helicopter - Utility
3E02E3,D-HSHF,Bundespolizei,Eurocopter EC120B Colibri,EC20,Pol,Training,Light Lift,Rotorcraft,Helicopter - Utility
3E02E4,D-HSHG,Bundespolizei,Eurocopter EC120B Colibri,EC20,Pol,Training,Light Lift,Rotorcraft,Helicopter - Utility
3E02E6,D-HSHI,Bundespolizei,Eurocopter EC120B Colibri,EC20,Pol,Training,Light Lift,Rotorcraft,Helicopter - Utility
3E02E8,D-HSHK,Bundespolizei,Eurocopter EC120B Colibri,EC20,Pol,Training,Light Lift,Rotorcraft,Helicopter - Utility
